Не указано,ООО Технологии Страхования,Василеостровская,"Санкт-Петербург, ",https://hh.ru/employer/936465,https://career.ru/vacancy/23248067?query=python,19 ноября,Python Developer (Junior),Реализовывать серверную логику web-приложений.
от 70 000 руб.,"Протей, НТЦ",Выборгская,"Санкт-Петербург, ",https://hh.ru/employer/22863,https://hh.ru/vacancy/23434322?query=python,19 ноября,QA engineer (Python),"Разработка тестовой документации. Создание методик тестирования и тестовых наборов. Разработка скриптов для автоматизированного тестирования. Разработка, развертывание, поддержка и обновление тестовых..."
70 000-110 000 руб.,STORVERK (ООО Сторверк),Выборгская,"Санкт-Петербург, ",https://hh.ru/employer/1497729,https://hh.ru/vacancy/23201980?query=python,18 ноября,Программист Python,Работа над уникальным проектом. Разработка новых и поддержка существующих сервисов. Интеграция со сторонними сервисами. Работа в команде с дизайнером и...
Не указано,"Wargaming, Saint Petersburg (Lesta Studio)",Елизаровская,"Санкт-Петербург, ",https://hh.ru/employer/662769?dpt=662769-662769-piter,https://hh.ru/vacancy/23489869?query=python,19 ноября,Client-server programmer (Python/С++),"Поддержка существующей функциональности, например, доработка библиотеки экспорта данных от игрового сервера в систему хранения (DWH). Разработка новой функциональности."
Не указано,Cloud Linux,Не указано,Санкт-Петербург,https://hh.ru/employer/1245452,https://career.ru/vacancy/23345310?query=python,18 ноября,Junior Python developer for Imunify360,"Imunify360 is an innovative security solution, powered by ArtificialIy Intelligence, for Linux Web servers. It is designed specifically for..."
120 000-150 000 руб.,"ACQUIRED IO, INC",Не указано,Санкт-Петербург,https://hh.ru/employer/2633495,https://hh.ru/vacancy/23130662?query=python,19 ноября,Full-stack Python dev‎eloper,"Разрабатывать ключевые компоненты системы — создавать как глубоко бэкендные механизмы, так и реализовывать пользовательские сценарии. Работать с большими объемами данных. "
150 000-200 000 руб.,ООО Умное пространство,Петроградская,"Санкт-Петербург, ",https://hh.ru/employer/2460946,https://hh.ru/vacancy/23269165?query=python,17 ноября,Разработчик Python,"Проектирование и разработка одной из важнейших частей нашего продукта — серверной логики и RESTful API, реализующего доступ к ней. "
Не указано,Fourmi Formidable,Не указано,Санкт-Петербург,https://hh.ru/employer/1145616,https://hh.ru/vacancy/23516560?query=python,17 ноября,Senior Python Developer/Architect,Разрабатывать web-сервисы и web-приложения (backend). Выпускать релизы. Делать Code Review. Развивать экспертизу в python на уровне компании.
Не указано,"Европром, холдинг",Нарвская,"Санкт-Петербург, ",https://hh.ru/employer/178288,https://hh.ru/vacancy/23423999?query=python,18 ноября,Разработчик Python,"Сервис e-commerce ""Гамаюн"". Профилирование кода по производительности и потреблению памяти."
Не указано,Fourmi Formidable,Не указано,Санкт-Петербург,https://hh.ru/employer/1145616,https://hh.ru/vacancy/23516549?query=python,17 ноября,Python Developer,"Вы освоите использование алгоритмов машинного обучения для решения различных задач, таких как распознавание лиц, интересов клиентов, поведение покупателей и т. "
от 130 000 руб.,АО НИИ МАСШТАБ,Не указано,Санкт-Петербург,https://hh.ru/employer/841097,https://hh.ru/vacancy/23515613?query=python,17 ноября,Ведущий Python-разработчик,"...в backend части продукта компании. Управление командой backend разработчиков (планирование, декомпозиция и распределение задач, контроль исполнения). Разработка на python-3."
100 000-200 000 руб.,SMART HR,Не указано,Санкт-Петербург,https://hh.ru/employer/2389305,https://hh.ru/vacancy/17463432?query=python,17 ноября,Руководитель группы разработчиков (Python/Django),Функции: Мы работаем над созданием высоконагруженного корпоративного web-приложения. Сейчас активно идет процесс деления монолита и введение микросервесной архитектуры. 
50 000-100 000 руб.,Деньга,Не указано,Санкт-Петербург,https://hh.ru/employer/739977,https://hh.ru/vacancy/22721229?query=python,17 ноября,Программист Python (Django),Функции: Мы работаем над созданием высоконагруженного корпоративного web-приложения. Сейчас активно идет процесс деления монолита и введение микросервесной архитектуры. 
50 000-100 000 руб.,SMART HR,Не указано,Санкт-Петербург,https://hh.ru/employer/2389305,https://hh.ru/vacancy/22721182?query=python,17 ноября,Программист Python,Функции: Мы работаем над созданием высоконагруженного корпоративного web-приложения. Сейчас активно идет процесс деления монолита и введение микросервесной архитектуры. 
от 80 000 руб.,АО НИИ МАСШТАБ,Не указано,Санкт-Петербург,https://hh.ru/employer/841097,https://hh.ru/vacancy/23515358?query=python,17 ноября,Python-разработчик,Реализация нового функционала в backend части продукта компании.
Не указано,Grid Dynamics,Не указано,Санкт-Петербург,https://hh.ru/employer/802184,https://hh.ru/vacancy/20581272?query=python,17 ноября,Senior Python developer (Big Data),"Participate in design, development, delivery of: Data pipelines and complex analytical jobs. Microservices. Data quality monitoring and alerting. "
100 000-140 000 руб.,ООО Телепорт,Кировский завод,"Санкт-Петербург, ",https://hh.ru/employer/2712343,https://hh.ru/vacancy/23322301?query=python,16 ноября,Программист Python,Доработка и совершенствование текущего ПО. API интеграция с интернет-магазинами. Реализация API. Решение оперативных задач. Техническое сопровождение ПО.
Не указано,АО Аркадия,Площадь Ленина,"Санкт-Петербург, ",https://hh.ru/employer/208902,https://hh.ru/vacancy/23468845?query=python,17 ноября,Python Developer,"Агрегируются лабораторные и/или клинические данные из разных источников с помощью ETL-pipeline, написанного на Python. После этого на базе..."
Не указано,Diakont,Гражданский проспект,"Санкт-Петербург, ",https://hh.ru/employer/38351,https://hh.ru/vacancy/22329095?query=python,17 ноября,Инженер-программист 3/2/1 категории (Python),"Разработка и реализация программ, компонентов программ и программных модулей на языке Python. Разработка алгоритмов управления и взаимодействия в программах. "
